evento;fotos_vendidas;pedidos;valor_bruto;descontos_estimados;comissao_funpace;valor_liquido_gustavo;valor_repassado_vinculado;saldo_pendente
ESPAÇO ALTERNATIVO 01/06 NOITE;4;3;45.80;13.80;18.32;27.48;;
ESPAÇO ALTERNATIVO 07/06 TARDE E NOITE;1;1;19.99;0.00;8.00;11.99;;
ESPAÇO ALTERNATIVO TARDE/NOITE 31/05;9;1;134.10;0.00;53.64;80.46;;
FOTOS ESPAÇO ALTERNATIVO 29/05 MANHÃ;1;1;14.90;0.00;5.96;8.94;;
FOTOS ESPAÇO ALTERNATIVO TARDE/NOITE 31/05;1;1;14.90;0.00;5.96;8.94;;
FUNPACE;1;1;1.10;0.00;0.44;0.66;;
FUNPACE VERDE E AMARELO NightRun #32 20/06;9;8;128.14;5.96;51.24;76.90;;
NightRun #30 by FUNPACE;9;6;106.50;27.60;42.60;63.90;;
NightRun #31 by FUNPACE 02/06;6;6;48.00;41.40;19.20;28.80;;
NightRun #33 by FUNPACE 23/06;5;4;70.03;4.47;28.00;42.03;;
NightRun #36 by FUNPACE 14/07;1;1;13.41;1.49;5.36;8.05;;
Teste 3;2;2;2.20;0.00;0.88;1.32;;
VOLEI SESI 21/06;1;1;13.41;1.49;5.36;8.05;;
